@RELATION bites

@ATTRIBUTE xStandardDev NUMERIC
@ATTRIBUTE yStandardDev NUMERIC
@ATTRIBUTE zStandardDev NUMERIC
@ATTRIBUTE xMean NUMERIC
@ATTRIBUTE yMean NUMERIC
@ATTRIBUTE zMean NUMERIC
@ATTRIBUTE class {Bite, Non-Bite}

@DATA
1.5380728508035588,3.104320754983738,3.5104098846806626,2.5044792857228053,7.048681237796942,4.4459841840797,Non-Bite
2.0281344025624337,1.9419868886494454,3.8715400056323808,4.748157994047953,7.446034577718148,1.3598869546101644,Non-Bite
1.3924536683656024,3.167521429426896,3.660173036944911,4.347225832061044,6.770869423874787,3.779841041671378,Non-Bite
1.5624498189708504,3.388499792617037,2.900658516881064,3.558883381386598,5.5353092988176895,6.106682870785395,Non-Bite
1.6376808694630327,2.469515475887175,1.4402690516701395,1.540279725107054,4.920759227226178,7.880369990666708,Non-Bite
1.690243824046062,1.7568005611548028,0.9211425483864821,4.9476669715510475,0.5404251324840718,8.55675647523668,Non-Bite
2.4739857781679815,4.092885762748745,2.497066313518577,2.491056826252204,3.278836791790449,8.504649906662793,Non-Bite
2.053752923618219,3.147813480106028,1.7336219918469096,-1.5771124474704266,2.6635209192945197,8.342215303941206,Non-Bite
2.6130492641255305,3.1693380021908255,2.0752156058540616,-0.4305543303489685,3.8088545428382026,7.664320964283413,Non-Bite
0.963996201862677,3.4127222418909473,1.6961031243126121,-1.81014421729164,3.3954013374116685,7.950802283816867,Non-Bite
3.1408476308517157,2.776197767976707,2.1064056991034126,-2.147077552974224,3.576703330874443,7.434156057238579,Non-Bite
2.8841052639835563,1.6654458325381511,3.1768234737244154,-5.82984933356444,1.6925552119190495,6.091927514225245,Non-Bite
0.8032226660279189,0.7066919190730685,0.5084964526960378,-2.334164390352865,-1.3267126662284137,9.407574221293132,Non-Bite
4.909924146080243,4.653140329806022,4.295967347542233,-3.990178157149681,2.11582371105573,5.669372393616608,Non-Bite
